Ask a Question,,File 15,,,,,
,,,,,,,
Character?,|,Question,|,Comment,|,Correct answer?,|
Monica,|,Ask about their home.,|,Ochs territory? I find it one of the quietest lands in the entire Empire.,|,Be doubtful.,|
Monica,|,Ask about memories of the past.,|,"If we start discussing memories of Her Majesty, we'll need more than one night to finish.",|,Lean forward in excitement.,|
Monica,|,Ask about their friends.,|,"Everyone here is so incredible, it can be a little intimidating. After all, I want to be considered worthy to serve at Her Majesty's side.",|,Get competitive over it.,|
Monica,|,Ask about preferred fighting style.,|,"If it's for Her Majesty, I will use whatever I can get my hands on. Magic just happens to suit me best.",|,Get competitive over it.,|
Monica,|,Ask what they think of you.,|,"You are a mercenary who has earned Her Majesty's respect. You are nothing more to me than that, and nothing less.",|,Be dispirited.,|
Monica,|,Ask what they think of you.,|,"I may be somewhat jealous of you, but that's not a problem. We can still work together!",|,Laugh.,|
Monica,|,Ask about any personal news.,|,Seeing everyone rally around Her Majesty and her cause is enough to move me to tears.,|,Be pleased.,|
Monica,|,Ask about any personal news.,|,I am exceedingly busy. Even the thought of work tires me out.,|,Give a pep talk.,|
Rodrigue,|,Ask about their likes.,|,"There's nothing better than sharing a drink with old friends. Though that's more of an adult pastime, I suppose.",|,Laugh.,|
Rodrigue,|,Ask about their dislikes.,|,"Sweets, if I had to pick something. It's not that I dislike them per se, but I rarely find myself craving such saccharine pleasures.",|,Say you get it.,|
Rodrigue,|,Ask about dreams for the future.,|,Hmm. The dreams I held dear as a child have either already come true...or never will.,|,Be doubtful.,|
Rodrigue,|,Ask about their worries.,|,"Fraldarius territory is never far from my thoughts. I know I needn't worry myself, but at times I can't help but do just that.",|,Give advice.,|
Rodrigue,|,Ask about their family.,|,"My wife and my brother have faced great hardship in my absence, all for the sake of our territory. For their sacrifice, I am forever grateful.",|,Ask for more details.,|
Rodrigue,|,Ask about memories of the past.,|,"One night when he was far too many flagons of wine deep, the margrave said to Lambert... Ah, my apologies. It would be rude of me to go on.",|,Refuse to drop it.,|
Rodrigue,|,Ask about their friends.,|,Thinking of all the fine people who chose to fight beside us fills me with nothing but the utmost pride.,|,Straighten up a little taller.,|
Rodrigue,|,Ask about preferred fighting style.,|,"In my prime, I always used to love engaging the enemy face to face, but as the years pass I've begun to understand the joys of barking orders from the rear.",|,Show that you understand.,|
Rodrigue,|,Ask what they think of you.,|,I only hope you'll continue to let me assess the extent of your power.,|,Vow to fight hard.,|
Rodrigue,|,Ask what they think of you.,|,The Kingdom and its army would be nothing now if not for that fateful day you saved His Majesty's life.,|,Give a pep talk.,|
Rodrigue,|,Ask about any personal news.,|,"I've made efforts to learn some more of Duscur's language of late. Once I've mastered that, I'll move on to the tongue of the Sreng region.",|,Show interest.,|
Rodrigue,|,Ask about any personal news.,|,"I'm more interested in how you are. Felix hasn't been giving you any trouble, has he?",|,Dispute that.,|
Holst,|,Ask about their likes.,|,I actually quite enjoy working in the kitchen. Mushroom dishes are my specialty!,|,Be pleased.,|
Holst,|,Ask about their dislikes.,|,I've no fondness for gambling—I've seen far too many people ruin their lives to go down that path myself.,|,Reach out and commiserate.,|
Holst,|,Ask about dreams for the future.,|,"Beyond protecting my land and my family, what more can I ask for?",|,Smile.,|
Holst,|,Ask about their worries.,|,"I try not to worry, at least not about things I can't change. I simply do what I can and keep putting one foot in front of the other!",|,Give a pep talk.,|
Holst,|,Ask about their family.,|,Watching over my younger sister is both my duty and my entire reason for living.,|,Be confounded.,|
Holst,|,Ask about memories of the past.,|,"As a youth, I ran with quite the crowd of hooligans. Oh, we were a fearless bunch!",|,Be envious.,|
Holst,|,Ask about their friends.,|,"If you forge strong relationships with your comrades, you'll fight much more effectively when it counts.",|,Reach out and commiserate.,|
Holst,|,Ask about preferred fighting style.,|,"Solo charges on horseback were once my specialty, but they tend to make my subordinates nervous, so I try to restrain myself.",|,Reach out and commiserate.,|
Holst,|,Ask what they think of you.,|,You have a lot of potential. Don't squander it.,|,Give a pep talk.,|
Holst,|,Ask what they think of you.,|,A Crest does not guarantee strength—you and I will prove that to the world!,|,Champion that cause.,|
Holst,|,Ask about any personal news.,|,My sister has been cold to me of late. I wonder what it is about me that bothers her.,|,Give advice.,|
Holst,|,Ask about any personal news.,|,Fighting at the side of youngsters like yourself has been invigorating!,|,Reach out and commiserate.,|
Gatekeeper,|,Ask about their likes.,|,"Well, I love seeing you all grow and develop, and I also love cheering you on!",|,Express gratitude.,|
Gatekeeper,|,Ask about their dislikes.,|,I hate it when people die...but that's war for you. Let's all do our best to make sure that doesn't happen!,|,Act dependable.,|
Gatekeeper,|,Ask about dreams for the future.,|,"When the war is over, I'm planning to get back to my music. Did you know I was in the church band?",|,Offer encouragement.,|
Gatekeeper,|,Ask about their worries.,|,"Well, I worry about not being taken seriously. Sometimes I wonder if anyone even knows my name.",|,Ask his name.,|
Gatekeeper,|,Ask about their family.,|,"My parents are in good health. And while I have a lot of younger brothers, I'm easily the most devout of the bunch.",|,Express worry.,|
Gatekeeper,|,Ask about memories of the past.,|,I ran away from home with nothing but the shirt on my back and took a post at Garreg Mach.,|,Be impressed.,|
Gatekeeper,|,Ask about their friends.,|,"Each day at the gate, I pray you'll all return safely.",|,Promise.,|
Gatekeeper,|,Ask about preferred fighting style.,|,"I do have some training with a lance, but I doubt I could match you in combat.",|,Offer encouragement.,|
Gatekeeper,|,Ask what they think of you.,|,"Everyone trusts you, so you must be pretty great!",|,Give a pep talk.,|
Gatekeeper,|,Ask what they think of you.,|,(same as above),|,Give a pep talk.,|
Gatekeeper,|,Ask about any personal news.,|,Nothing to report! How about yourself?,|,Nod.,|
Gatekeeper,|,Ask about any personal news.,|,(same as above),|,Nod.,|
none,|,none,|,none,|,none,|
none,|,none,|,none,|,none,|
none,|,none,|,none,|,none,|
none,|,none,|,none,|,none,|
none,|,none,|,none,|,none,|
none,|,none,|,none,|,none,|
none,|,none,|,none,|,none,|
none,|,none,|,none,|,none,|
